2001,2163
2001,2174
2001,2184
2002,2058
2002,2067
2002,2090
2002,2135
2002,2166
2003,2090
2003,2111
2003,2199
2004,2054
2004,2070
2004,2163
2004,2178
2004,2183
2005,2077
2005,2080
2005,2158
2006,2063
2006,2070
2006,2101
2006,2166
2006,2177
2007,2018
2007,2046
2007,2054
2007,2058
2007,2086
2007,2101
2007,2133
2007,2160
2007,2171
2007,2179
2008,2003
2008,2069
2008,2082
2008,2142
2008,2182
2008,2188
2009,2094
2009,2102
2009,2114
2009,2176
2009,2193
2010,2054
2011,2091
2011,2092
2012,2072
2012,2119
2012,2140
2013,2107
2013,2125
2013,2130
2013,2164
2013,2185
2013,2191
2014,2078
2014,2083
2014,2097
2014,2107
2015,2003
2015,2067
2015,2093
2015,2107
2015,2143
2015,2197
2016,2004
2016,2020
2016,2027
2016,2078
2016,2100
2016,2113
2016,2147
2016,2154
2016,2169
2017,2003
2017,2007
2017,2029
2017,2045
2018,2014
2018,2016
2018,2038
2018,2088
2018,2139
2018,2141
2018,2189
2019,2028
2019,2066
2019,2162
2019,2168
2019,2187
2020,2004
2020,2021
2020,2028
2021,2064
2021,2082
2021,2117
2021,2137
2021,2168
2021,2176
2021,2182
2021,2188
2022,2015
2022,2096
2022,2175
2023,2042
2023,2087
2023,2135
2023,2140
2023,2162
2024,2134
2025,2030
2025,2135
2026,2028
2026,2155
2026,2198
2027,2063
2027,2117
2027,2129
2027,2196
2028,2012
2028,2022
2028,2098
2028,2113
2028,2140
2028,2196
2029,2004
2029,2084
2029,2178
2030,2026
2030,2054
2030,2085
2030,2087
2030,2113
2030,2145
2030,2180
2031,2036
2031,2041
2031,2112
2031,2138
2032,2102
2032,2120
2032,2142
2032,2190
2033,2054
2033,2056
2033,2081
2033,2107
2033,2176
2034,2017
2034,2039
2034,2052
2034,2166
2034,2177
2035,2070
2035,2121
2035,2124
2035,2162
2036,2079
2036,2151
2036,2159
2037,2032
2037,2147
2037,2193
2038,2009
2038,2071
2038,2120
2038,2137
2038,2155
2038,2173
2038,2184
2039,2019
2039,2020
2039,2037
2039,2107
2039,2185
2040,2008
2040,2071
2040,2075
2040,2186
2041,2003
2041,2162
2041,2186
2042,2046
2042,2135
2042,2162
2042,2182
2042,2184
2043,2031
2043,2037
2043,2048
2043,2087
2043,2091
2043,2136
2043,2145
2044,2028
2045,2082
2045,2094
2045,2119
2045,2153
2045,2169
2046,2041
2046,2043
2046,2154
2047,2006
2047,2077
2048,2066
2048,2086
2048,2091
2048,2105
2048,2171
2048,2175
2048,2194
2048,2195
2049,2023
2049,2078
2049,2102
2049,2103
2049,2157
2049,2169
2049,2176
2049,2187
2049,2190
2049,2199
2050,2021
2050,2079
2050,2082
2050,2146
2050,2190
2050,2192
2051,2022
2051,2089
2051,2119
2052,2038
2052,2040
2053,2013
2053,2072
2053,2083
2053,2089
2053,2138
2054,2077
2054,2092
